0.04345	0.04345	0.32000	0.32000
0.11320	0.11259	0.18938	0.18870
0.04357	0.04357	0.39000	0.39000
0.12300	0.12300	0.36000	0.36000
0.00000	0.00000	0.00000	0.00000
0.07000	0.09000	0.27000	0.27000
0.03971	0.03971	0.40000	0.40000
0.03461	0.03461	0.32000	0.32000
0.00000	0.00000	0.00000	0.00000
0.12000	0.12000	0.20000	0.20000
0.00000	0.00000	0.00000	0.00000
0.12000	0.12000	0.20000	0.20000
0.12000	0.12000	0.40000	0.40000
0.12000	0.12000	0.40000	0.40000
0.12000	0.12000	0.20537	0.20547
0.00000	0.00000	0.00000	0.00000
0.06500	0.06500	0.30000	0.30000
0.12000	0.12000	0.20000	0.20000
0.00000	0.00000	0.00000	0.00000
0.00000	0.00000	0.00000	0.00000
0.12000	0.12000	0.20537	0.20547
0.00000	0.00000	0.00000	0.00000
0.00000	0.00000	0.00000	0.00000
0.12000	0.12000	0.20000	0.20000
0.00000	0.00000	0.00000	0.00000
0.00000	0.00000	0.00000	0.00000
0.00000	0.00000	0.00000	0.00000
