1	1	0.2	0.2	0.3	0.3	0.3	0.3	0.3	1	1	1	1	1	1	1	1	1	1
1	1	0.2	0.2	0.3	0.3	0.3	0.3	0.3	1	1	1	1	1	1	1	1	1	1
1	1	0.26	0.26	0.38	0.38	0.38	0.38	0.38	1	1	1	1	1	1	1	1	1	1
1	1	0.26	0.26	0.38	0.38	0.38	0.38	0.38	1	1	1	1	1	1	1	1	1	1
1	1	0.3	0.3	0.38	0.38	0.38	0.38	0.38	1	1	1	1	1	1	1	1	1	1
1	1	0.3	0.3	0.38	0.38	0.38	0.38	0.38	1	1	1	1	1	1	1	1	1	1
1	1	0.3	0.3	0.38	0.38	0.38	0.38	0.38	1	1	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0.3	0.3	0.38	0.38	0.38	0.38	0.38	1	1	1	1	1	1	1	1	1	1
1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
1	1	0.39	0.39	0.42	0.42	0.42	0.42	0.42	1	1	1	1	1	1	1	1	1	1
1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0.2	0.2	0.4	0.4	0.4	0.4	0.4	1	1	1	1	1	1	1	1	1	1
1	1	0.2	0.2	0.4	0.4	0.4	0.4	0.4	1	1	1	1	1	1	1	1	1	1
1	1	0.2	0.2	0.4	0.4	0.4	0.4	0.4	1	1	1	1	1	1	1	1	1	1
